 Event;Date;Time;User/Messagenr.;Type/State/Recipe No./Messagetext;Name/Messagetext/File name;Old value;New value;Symbol name;
I;2017.04.07;10:51:41;student;D;Taster Maschine stoppen;0;1;dTastSTOP;
I;2017.04.07;10:51:43;student;D;Taster Pumpe ausschalten;0;1;dTastPumpeAus;
I;2017.04.07;10:51:44;student;D;Taster Heizung ausschalten;0;1;dTastHeizungAus;
I;2017.04.07;10:51:45;student;D;Taster Heizung ausschalten;0;1;dTastHeizungAus;
I;2017.04.07;10:51:55;student;D;SPC-Daten auf Memorystick kopieren;0;1;dSPCtoUSB;
A;2017.04.07;10:52:23;0023;1;Unterschreitung Schneckentemperatur;
A;2017.04.07;11:01:36;0600;1;FTP-Zugriff;
A;2017.04.07;11:02:40;0600;0;FTP-Zugriff;
A;2017.04.07;11:07:42;0023;2;Unterschreitung Schneckentemperatur;
A;2017.04.07;11:17:56;0600;1;FTP-Zugriff;
A;2017.04.07;11:18:57;0600;0;FTP-Zugriff;
